School,Area,Date,Staff Count,Student Count,DateTime,Staff Close Contacts,Student Close Contacts
Sangaree Elementary,,2/13/2022,1,0,2022-02-13 10:56:45,0,16
Sangaree Intermediate,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Sangaree Middle,,2/13/2022,0,0,2022-02-13 10:56:45,0,0
Sedgefield Middle,,2/13/2022,0,1,2022-02-13 10:56:45,0,3
St Stephen Elementary,,2/13/2022,0,3,2022-02-13 10:56:45,0,4
St Stephen Middle,,2/13/2022,0,1,2022-02-13 10:56:45,0,5
Stratford High,,2/13/2022,0,7,2022-02-13 10:56:45,0,13
Timberland High,,2/13/2022,0,1,2022-02-13 10:56:45,0,3
Westview Elementary,,2/13/2022,0,3,2022-02-13 10:56:45,0,7
Westview Middle,,2/13/2022,1,6,2022-02-13 10:56:45,0,14
Westview Primary,,2/13/2022,2,2,2022-02-13 10:56:45,1,23
Whitesville Elementary,,2/13/2022,0,2,2022-02-13 10:56:45,0,12
Berkeley County School District,,2/14/2022,12,88,2022-02-14 06:32:23,5,310
Central Offices,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
Maintenance,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
Technology,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
Transportation,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
Child Nutrition,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
Adult Education,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
Berkeley Alternative,,2/14/2022,0,0,2022-02-14 06:32:23,0,0
